kode_prov,nama_prov,kode_cab,nama_cab,kode_kec,nama_kec,kode_kel,nama_kel,kode_tps,nama_tps,sumPartai,sumPartaiVotesAndCaleg,selisih,partai
32,JAWA BARAT,3215,KARAWANG,321510,PEDES,3215102012,JATIMULYA,3215102012022,TPS 022,18,9598,9580,Gerindra
99,Luar Negeri,9949,"Hong Kong, Republik Rakyat Tiongkok",994901,"Hong Kong, Republik Rakyat Tiongkok",9949010001,"Hong Kong, Republik Rakyat Tiongkok",9949010001029,POS 025,3,9380,9377,Partai Garuda
99,Luar Negeri,9971,"Manila, Filipina",997101,"Manila, Filipina",9971010001,"Manila, Filipina",9971010001003,TPS 002,35,8923,8888,Golkar
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,12,8307,8295,Demokrat
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,0,7926,7926,Partai Ummat
35,JAWA TIMUR,3507,MALANG,350701,DONOMULYO,3507012006,DONOMULYO,3507012006003,TPS 003,18,7815,7797,Gerindra
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,4,6938,6934,PERINDO
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,42,6814,6772,Gerindra
35,JAWA TIMUR,3515,SIDOARJO,351503,KREMBUNG,3515032006,MOJORUNTUT,3515032006002,TPS 002,28,6563,6535,PDIP
35,JAWA TIMUR,3515,SIDOARJO,351503,KREMBUNG,3515032006,MOJORUNTUT,3515032006002,TPS 002,45,6394,6349,Golkar
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,0,6382,6382,Partai Garuda
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,0,6208,6208,Partai Garuda
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,20,6116,6096,PDIP
32,JAWA BARAT,3215,KARAWANG,321510,PEDES,3215102012,JATIMULYA,3215102012022,TPS 022,23,6088,6065,PDIP
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,0,5500,5500,PKN
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,0,5400,5400,Partai Buruh
33,JAWA TENGAH,3305,KEBUMEN,330508,MIRIT,3305082017,PEKUTAN,3305082017002,TPS 002,40,5378,5338,PKB
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,21,5373,5352,PSI
35,JAWA TIMUR,3504,TULUNGAGUNG,350410,SUMBERGEMPOL,3504102002,WATES,3504102002008,TPS 008,102,5362,5260,PKB
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,5,5346,5341,Nasdem
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,0,5328,5328,Partai Gelora
71,SULAWESI UTARA,7107,MINAHASA TENGGARA,710705,TOMBATU,7107052006,TONSAWANG,7107052006003,TPS 003,0,5325,5325,Partai Ummat
35,JAWA TIMUR,3507,MALANG,350701,DONOMULYO,3507012006,DONOMULYO,3507012006003,TPS 003,4,5324,5320,PAN
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,0,5320,5320,PKN
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,7,5274,5267,PPP
32,JAWA BARAT,3215,KARAWANG,321510,PEDES,3215102012,JATIMULYA,3215102012022,TPS 022,0,5240,5240,Hanura
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,9,5187,5178,PKS
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,13,5167,5154,PAN
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,0,5152,5152,Hanura
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,37,5126,5089,PKB
32,JAWA BARAT,3215,KARAWANG,321522,JAYAKERTA,3215222006,MEDANGASEM,3215222006018,TPS 018,6,5029,5023,PKB
35,JAWA TIMUR,3518,NGANJUK,351804,LOCERET,3518042005,NGEPEH,3518042005014,TPS 014,85,4986,4901,PKB
35,JAWA TIMUR,3514,PASURUAN,351418,GONDANGWETAN,3514182020,GONDANGREJO,3514182020007,TPS 007,1,4928,4927,Partai Buruh
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,9,4923,4914,Golkar
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,0,4882,4882,Partai Ummat
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,0,4876,4876,PAN
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,0,4868,4868,PSI
35,JAWA TIMUR,3521,NGAWI,352113,MANTINGAN,3521132001,SAMBIREJO,3521132001916,TPS 916,3,4693,4690,PKB
